Date,Citations,Cited Pages
6/18/2026 12:00:00 AM,103,30
6/19/2026 12:00:00 AM,147,28
6/20/2026 12:00:00 AM,77,15
6/21/2026 12:00:00 AM,153,25
6/22/2026 12:00:00 AM,272,39
6/23/2026 12:00:00 AM,269,40
6/24/2026 12:00:00 AM,244,45
6/25/2026 12:00:00 AM,231,38
6/26/2026 12:00:00 AM,268,56
6/27/2026 12:00:00 AM,235,47
6/28/2026 12:00:00 AM,212,34
6/29/2026 12:00:00 AM,427,56
6/30/2026 12:00:00 AM,474,60
7/1/2026 12:00:00 AM,415,58
7/2/2026 12:00:00 AM,307,61
7/3/2026 12:00:00 AM,261,55
7/4/2026 12:00:00 AM,312,47
7/5/2026 12:00:00 AM,389,41
7/6/2026 12:00:00 AM,693,58
7/7/2026 12:00:00 AM,684,62
7/8/2026 12:00:00 AM,747,68
7/9/2026 12:00:00 AM,594,77
7/10/2026 12:00:00 AM,545,73
7/11/2026 12:00:00 AM,357,63
7/12/2026 12:00:00 AM,370,59
7/13/2026 12:00:00 AM,592,74
7/14/2026 12:00:00 AM,656,70
7/15/2026 12:00:00 AM,591,68
7/16/2026 12:00:00 AM,856,87
