Grounding Query,Intent,Topic,Citations,Citation Share
tv licence scam email reporting,Informational,Security,413,47.31%
tv licence scam,Informational,Security,311,28.72%
how to spot work from home scams uk,Learn and Solve,Security,132,36.67%
santander scam email,Informational,Security,132,40.00%
tv licensing scam email,Informational,Security,132,56.90%
bt scam calls,Informational,Security,126,24.51%
is viagogo safe to buy tickets,Research,Security,118,7.83%
tv licence scams uk,Informational,Security,117,38.11%
tv licensing scam emails uk,Informational,Security,106,48.62%
tv licence email address uk,Informational,Government Services & Benefits,102,49.51%
nationwide fraud,Informational,Security,102,19.65%
tvlicensing co uk renew,Commercial,Security,96,15.58%
tv licensing phishing email reporting,Learn and Solve,Security Audits & Best Practices,87,45.55%
Indeed job platform scams,Informational,Employment,86,11.65%
tv licensing scam,Informational,Security,85,24.43%
tv licence scams,Informational,Security,77,39.29%
tv licence renewal scam,Informational,Security,68,27.53%
Indeed pricing scam,Research,Security,66,9.35%
warning signs scam job postings Indeed,Learn and Solve,Employment,64,11.45%
virgin media telephone call scam,Research,Security,63,29.03%
scammers list,Informational,Online Safety & Cybersecurity,62,9.61%
how to avoid scams when looking for work from home jobs in uk,Learn and Solve,Remote & Hybrid Work,55,14.71%
santander phishing email address,Informational,Security Audits & Best Practices,49,31.82%
viagogo is a scam,Research,Security,49,31.82%
red flags online pharmacy counterfeit medicines,Research,Health,47,21.17%
temu uk site scam,Research,Security,46,22.33%
virgin media scams,Research,Security,45,32.85%
Is Indeed a scam,Research,Security,44,8.45%
temu uk scam,Research,Security,44,18.33%
is viagogo a scam,Research,Security,41,20.20%
evri scam email,Informational,Security,40,21.05%
avoid taxi scams Manchester Airport,Learn and Solve,Security,36,28.12%
tv licence fraud reporting,Learn and Solve,Security,36,57.14%
scam tv licensing,Informational,Security,35,31.25%
avoid taxi scams Heathrow Airport,Learn and Solve,Security,34,17.17%
natwest scam reporting,Research,Security,33,25.98%
how to spot suspicious invoice or payee,Learn and Solve,Security,33,22.15%
enquiries tv licensing email address,Informational,Security,32,64.00%
natwest text message scam,Research,Security,32,22.22%
natwest text scam today,Live Event,Security,32,36.36%
tv licence email address,,,31,35.63%
lloyds bank scam reporting,Research,Online Safety & Cybersecurity,30,30.30%
work from home scam,Informational,Security,27,30.00%
scam jobs on Indeed reasons,Research,Employment,27,8.16%
"why have i received a letter from tv licensing asking me ammi sure im not watching tv, when ive previously signed a no license needed"" declaration?""",Learn and Solve,Government Services & Benefits,27,35.06%
tv licence email,Informational,Security,25,30.49%
avoid taxi scams Luton Airport,Learn and Solve,Security,24,26.97%
amazon scam call regarding purchase,Informational,Security,24,44.44%
evri email scam,Informational,Security,24,21.43%
tv licence phishing reporting,Learn and Solve,Online Safety & Cybersecurity,23,38.98%
vinted scam,Research,Security,22,18.03%
Indeed scam or legit,Comparison,Security,20,18.02%
natwest report a scam,Learn and Solve,Security,20,23.81%
avoid taxi scams Gatwick Airport,Learn and Solve,Security,19,17.76%
Are jobs on Indeed legitimate,Research,Employment,18,8.61%
avoid taxi scams Birmingham Airport,Learn and Solve,Security,18,19.57%
how to identify fraudulent invoice signs,Learn and Solve,Security,17,29.31%
how to get a debt consolidation loan safely avoid scams,Learn and Solve,Debt Management,17,20.24%
british gas call scam,Informational,Security,16,36.36%
prime membership scam,Research,Security,16,21.05%
bt report scam calls,Learn and Solve,Security,16,18.18%
tv licence paperless email,,,15,18.52%
tvl co uk pay,,,15,15.00%
how to spot nft scams,Learn and Solve,Security,15,4.49%
safest ways avoid taxi scams Manchester Airport,Learn and Solve,Safety,14,20.29%
Indeed fake jobs scam,Research,Employment,13,28.89%
avoid taxi scams Luton Airport safest methods,Learn and Solve,Safety,13,35.14%
verify if bank call or text is legitimate,Learn and Solve,Security,13,30.23%
debt consolidation loan how to avoid scams,Learn and Solve,Debt Management,13,16.88%
common signs of fraudulent transactions,Informational,Ecommerce Security & Fraud,12,16.90%
tv license scam email reporting,Informational,Security,12,60.00%
avoid taxi scams Stansted Airport,Learn and Solve,Security,11,11.96%
Is AliExpress safe to buy from UK,Research,Shopping,11,37.93%
how to avoid fake remote job adverts on social media,Learn and Solve,Social Media,10,13.51%
nationwide verification messages,Informational,Security,10,15.15%
british gas survey scam,Research,Security,10,25.00%
report tv licence fraud,Learn and Solve,Security,10,34.48%
tv licence phishing email reporting,Learn and Solve,Security Audits & Best Practices,9,37.50%
Indeed scams,Informational,Security,9,13.64%
tvl.co.uk pay,Commercial,Security,9,15.00%
safest way to avoid taxi scams Stansted Airport,Learn and Solve,Safety,8,20.51%
natwest scam number,Informational,Security,8,23.53%
british gas scam calls,Informational,Security,8,36.36%
safest way to avoid taxi scams Luton Airport,Learn and Solve,Safety,7,18.92%
8005979843 Sky UK scam risks,Research,Security,7,14.29%
