keyword,entity,category
is temu a scam,Temu,website
shein scam or legit,SHEIN,website
aliexpress scam or legit,AliExpress,website
vinted scam warning,Vinted,marketplace
etsy scam sellers,Etsy,marketplace
facebook marketplace scam,Facebook,marketplace
gumtree scam uk,Gumtree,marketplace
ebay scam buyer protection,eBay,marketplace

royal mail text scam,Royal Mail,sms
evri text scam,Evri,sms
dpd delivery scam text,DPD,sms
yodel scam text,Yodel,sms
ups delivery scam text,UPS,sms

paypal email scam,PayPal,payment
bank transfer scam uk,Bank,payment
invoice scam email,Invoice,payment
refund scam uk,Refund,payment
chargeback scam,Card,payment
direct debit scam uk,Bank,payment

hmrc tax refund scam,HMRC,government
dvla scam email,DVLA,government
nhs covid scam message,NHS,government

crypto investment scam,Crypto,crypto
bitcoin scam uk,Bitcoin,crypto
forex trading scam,Forex,crypto
trading signal scam,Trading,crypto

job offer scam uk,Jobs,employment
work from home scam uk,Jobs,employment
linkedin job scam,LinkedIn,employment

romance scam signs,Online dating,dating
tinder scam uk,Tinder,dating

puppy scam uk,Pets,marketplace
ticket scam uk,Events,marketplace
holiday booking scam uk,Travel,travel

amazon scam email,Amazon,shopping
amazon phone call scam,Amazon,phone
amazon refund scam,Amazon,payment

google voice scam uk,Google,tech
microsoft support scam,Microsoft,tech
apple id scam email,Apple,tech

whatsapp scam family message,WhatsApp,social
instagram scam message,Instagram,social
snapchat scam account,Snapchat,social

qr code scam payment,QR,tech
parking fine scam text,Parking,sms
energy bill scam uk,Energy,utility

loan scam uk,Loans,finance
credit score scam uk,Credit,finance
debt relief scam uk,Debt,finance
