date,citations,cited_pages
2026-06-18,103,30
2026-06-19,147,28
2026-06-20,77,15
2026-06-21,153,25
2026-06-22,272,39
2026-06-23,269,40
2026-06-24,244,45
2026-06-25,231,38
2026-06-26,268,56
2026-06-27,235,47
2026-06-28,212,34
2026-06-29,427,56
2026-06-30,474,60
2026-07-01,415,58
2026-07-02,307,61
2026-07-03,261,55
2026-07-04,312,47
2026-07-05,389,41
2026-07-06,693,58
2026-07-07,684,62
2026-07-08,747,68
2026-07-09,594,77
2026-07-10,545,73
2026-07-11,357,63
2026-07-12,370,59
2026-07-13,592,74
2026-07-14,656,70
2026-07-15,591,68
2026-07-16,856,87
