page,citations
https://beatthescam.com/guides/tv-licence-email-scam-uk/,1979
https://beatthescam.com/guides/tv-licence-scam-letter-uk/,942
https://beatthescam.com/guides/indeed-job-scam-uk/,447
https://beatthescam.com/guides/bt-broadband-scam-calls-uk/,432
https://beatthescam.com/guides/santander-email-scam-uk/,355
https://beatthescam.com/guides/natwest-fraud-text-message-scam-uk/,353
https://beatthescam.com/guides/airport-transfer-taxi-scam-uk/,315
https://beatthescam.com/guides/work-from-home-scam-uk/,311
https://beatthescam.com/guides/viagogo-scam-uk/,308
https://beatthescam.com/guides/evri-delivery-scam-guide/,283
https://beatthescam.com/guides/is-temu-a-scam-uk/,242
https://beatthescam.com/guides/virgin-media-scam-call-uk/,242
https://beatthescam.com/guides/nationwide-scam-text-uk/,181
https://beatthescam.com/guides/revolut-scam-uk/,118
https://beatthescam.com/guides/barclays-bank-text-scam-uk/,116
https://beatthescam.com/guides/vinted-scam-warning-uk/,114
https://beatthescam.com/guides/recruitment-agency-scam-uk/,113
https://beatthescam.com/guides/stubhub-ticket-scam-uk/,108
https://beatthescam.com/guides/dvla-email-scam-car-tax/,104
https://beatthescam.com/guides/smart-meter-scam-call-uk/,100
https://beatthescam.com/guides/remote-work-scam-uk-2026/,98
https://beatthescam.com/guides/isp-impersonation-scam-bt-sky-virgin-media/,97
https://beatthescam.com/guides/nhs-appointment-scam-text-uk/,93
https://beatthescam.com/guides/british-gas-scam-call-uk/,87
https://beatthescam.com/guides/apple-pay-scam-uk/,87
