grounding_query,intent,topic,citations,citation_share
tv licence scam email reporting,Informational,Security,413,47.31%
tv licence scam,Informational,Security,311,28.72%
how to spot work from home scams uk,Learn and Solve,Security,132,36.67%
santander scam email,Informational,Security,132,40.00%
tv licensing scam email,Informational,Security,132,56.90%
bt scam calls,Informational,Security,126,24.51%
is viagogo safe to buy tickets,Research,Security,118,7.83%
tv licence scams uk,Informational,Security,117,38.11%
tv licensing scam emails uk,Informational,Security,106,48.62%
tv licence email address uk,Informational,Government Services & Benefits,102,49.51%
nationwide fraud,Informational,Security,102,19.65%
tvlicensing co uk renew,Commercial,Security,96,15.58%
tv licensing phishing email reporting,Learn and Solve,Security Audits & Best Practices,87,45.55%
Indeed job platform scams,Informational,Employment,86,11.65%
tv licensing scam,Informational,Security,85,24.43%
tv licence scams,Informational,Security,77,39.29%
tv licence renewal scam,Informational,Security,68,27.53%
Indeed pricing scam,Research,Security,66,9.35%
warning signs scam job postings Indeed,Learn and Solve,Employment,64,11.45%
virgin media telephone call scam,Research,Security,63,29.03%
scammers list,Informational,Online Safety & Cybersecurity,62,9.61%
how to avoid scams when looking for work from home jobs in uk,Learn and Solve,Remote & Hybrid Work,55,14.71%
santander phishing email address,Informational,Security Audits & Best Practices,49,31.82%
viagogo is a scam,Research,Security,49,31.82%
red flags online pharmacy counterfeit medicines,Research,Health,47,21.17%
