section,metric,value,period,geography,publisher,published,source_url,notes
Headline figures,Total UK payment fraud losses (unauthorised + APP),"Almost £1.3 billion (components: £703.4m unauthorised + £576.4m APP = £1,279.8m, derived sum; widely reported as £1.28bn, up 4% on 2024)",Calendar year 2025,UK,UK Finance — Annual Fraud Report 2026,2026-06-15,https://www.ukfinance.org.uk/news-and-insight/press-release/fraud-report-2026-press-release,"Press release headline: criminals 'steal almost £1.3 billion'. The +4% year-on-year change is stated in the report/coverage, not in the press-release body itself. Covers fraud on payment cards, remote banking and APP scams reported by UK Finance members — NOT all fraud (survey-based estimates are far higher, see GASA and ONS entries). Report PDF: https://www.ukfinance.org.uk/system/files/2026-06/UK%20Finance%20Fraud%20Report%202026.pdf"
Headline figures,Total confirmed payment fraud cases (derived sum),"4.06 million cases (derived: 3.81 million unauthorised cases, up 11%, + 248,070 APP cases, up 7%); secondary coverage reports 'a record 4.06 million, up 11%'",Calendar year 2025,UK,UK Finance — Annual Fraud Report 2026,2026-06-15,https://www.ukfinance.org.uk/news-and-insight/press-release/fraud-report-2026-press-release,"UK Finance counts cards/accounts defrauded, not people. Equivalent to roughly eight people defrauded every minute (UK Finance's own framing in launch coverage). CONFLICT NOTE (record-both rule): one secondary source (Refundee, 2026) states '4.68 million cases' and another (Comms Council UK, 19 June 2026) describes 'an 11% increase' as if it applied to losses — both are misreadings; the press-release figures are 4.06m cases (+11%) and £1.28bn losses (+4%)."
Headline figures,"Unauthorised fraud losses (card, remote banking, cheque)","£703.4 million, down 5% vs 2024. Breakdown: remote purchase card fraud £423.5m (up 3%, 3.2m cases up 13%); lost & stolen £109.8m (down 2%, 449,189 cases up 2%); remote banking £104.4m (down 27%, 37,646 cases up 11%, driven by a 21% rise in mobile banking cases); contactless £46.8m (up 8%)",Calendar year 2025,UK,UK Finance — Annual Fraud Report 2026,2026-06-15,https://www.ukfinance.org.uk/news-and-insight/press-release/fraud-report-2026-press-release,"High-volume, low-value model: losses fell while case numbers rose. Victims of unauthorised fraud are legally protected and banks refund almost all cases."
Headline figures,CSEW estimated fraud incidents (survey measure — the best estimate of true scale),4.5 million fraud incidents; no statistically significant change vs year ending March 2025 (4.2m). 3.8 million adult victims (up 10% from 3.4m); prevalence 7.8% of adults (up 0.7pp). Bank and credit account fraud c.2.8m incidents (up 15%),Year ending March 2026,England and Wales,Office for National Statistics — Crime in England and Wales: year ending March 2026,2026-07-23,https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/bulletins/crimeinenglandandwales/yearendingmarch2026,"Re-verified by direct fetch 2026-07-25 (published two days ago — the most current national fraud estimate available). England and Wales only. Fraud = 4.5m of 9.6m CSEW headline crime incidents, i.e. roughly 47% of headline crime (derived ratio of two published figures; Ofcom's July 2026 statement uses 'approximately 45% of all reported crime'). Computer misuse: 798,000 incidents, no significant change. Fraud is up 30% on the earliest comparable year (YE March 2017, ~3.4m incidents, per the YE Dec 2025 bulletin)."
Headline figures,Consumer-survey estimate of total UK scam losses (GASA),"£9.4 billion estimated stolen from UK consumers in 12 months (down from £11.4bn in the 2024 edition); 20% of adults had money taken; average loss £878.60 per victim; 77% of victims reported to their payment provider; 47% recovered at least some money; millennials' average loss £1,456.90 — c. triple Gen X's £444.10",12 months to autumn 2025,UK,Global Anti-Scam Alliance (GASA) with Cifas — State of Scams in the UK 2025,2025-11-05,https://www.cifas.org.uk/newsroom/9.4billion_stolenfromconsumers,"Re-verified by direct fetch 2026-07-25 (the £11.4bn prior-year comparison comes from the 2024 edition, not this page). Survey-based extrapolation — methodologically different from (and much larger than) UK Finance's £1.28bn confirmed payment fraud. Present as 'estimated total consumer losses' with the caveat. Shopping/purchase scams were the most common type (45% of victims). Striking secondary finding: those claiming they 'always recognise a scam' had the highest average losses (£1,591.90)."
Fraud is nearly half of all crime — and most of it is never reported,Fraud reported to police/NFIB (recorded-crime measure) — latest available figure,"1.4 million fraud offences referred to the National Fraud Intelligence Bureau (via Action Fraud, Cifas and UK Finance) in YE September 2025, up 12% on the previous year (1.2 million, YE June 2025 and YE September 2024)",Year ending September 2025 (LAST PUBLISHED FIGURE — series then suspended),England and Wales,Office for National Statistics — Crime in England and Wales: year ending September 2025,2026-01-29,https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/bulletins/crimeinenglandandwales/yearendingseptember2025,"Exact bulletin quote, verified twice on 2026-07-25: 'The recorded crime series showed a 12% increase in fraud offences in YE September 2025 (1.4 million offences) compared with the previous year (1.2 million offences).' THE GAP EXPLAINED: the CSEW estimated 4.2 million fraud incidents in the same period — roughly three times the recorded figure — because most victims never report, and the recorded total is itself inflated relative to public reports by bulk industry referrals from Cifas and UK Finance. City of London Police then temporarily suspended recorded fraud data supply while migrating from Action Fraud to the new Report Fraud service (launched 4 December 2025; NFIB renamed Report Fraud Analysis Services), so the YE Dec 2025 and YE Mar 2026 ONS bulletins contain NO recorded fraud figures. ONS warns recorded fraud is an unreliable indicator of true volume."
APP scams and reimbursement,APP (authorised push payment) scam losses,"£576.4 million, up 19% vs 2024; 248,070 cases, up 7%. £500.8m personal losses + £75.6m business losses",Calendar year 2025,UK,UK Finance — Annual Fraud Report 2026,2026-06-15,https://www.ukfinance.org.uk/news-and-insight/press-release/fraud-report-2026-press-release,"Sharp reversal of the 2023–2024 downward trend, driven by AI-enabled social engineering per UK Finance."
APP scams and reimbursement,"APP reimbursement (UK Finance measure, all APP)",£354.3 million reimbursed to APP fraud victims = 61% of APP losses,Calendar year 2025,UK,UK Finance — Annual Fraud Report 2026,2026-06-15,https://www.ukfinance.org.uk/news-and-insight/press-release/fraud-report-2026-press-release,Lower than the PSR's 89% because UK Finance covers a wider range of payment and account types than the PSR mandatory-reimbursement rules — UK Finance states this explicitly. Quote both figures together on the stats page.
APP scams and reimbursement,"APP reimbursement under the PSR mandatory rules (Faster Payments/CHAPS, in scope)","89% of money lost to in-scope APP scams reimbursed (£243m of £273m) in the first 15 months of the rules; Q4 2025 alone: 85% of claims value, £70.2m; £215m reimbursed across 2025; 82% of Q4 claims closed within 5 business days, 98% within 35; only 2% of Q4 claims rejected for insufficient consumer caution",7 October 2024 – 31 December 2025 (cumulative) and Q4 2025,UK,"Payment Systems Regulator — APP scams reimbursement dashboard, Q4 2025",2026-06-11,https://www.psr.org.uk/information-for-consumers/app-scams-reimbursement-dashboard/,"15-month totals: 243,000 reimbursable claims out of 352,000 reported. Mandatory reimbursement (max £85,000, split 50/50 between sending and receiving firm) began 7 October 2024. Re-verified 2026-07-25."
APP scams and reimbursement,Reimbursement improvement one year into the mandatory scheme (PSR review),"88% of money claimed back from payment firms was returned to victims (October 2024 – June 2025), up from 66% in the equivalent 2023/24 period; £112 million reimbursed in the first nine months; claim volumes down ~15% (126,000 claims); 84% of claims resolved within 5 business days",October 2024 – June 2025 vs October 2023 – June 2024,UK,Payment Systems Regulator — 'One year on: impact of APP reimbursement on victims',2025-10-08,https://www.psr.org.uk/news-and-updates/latest-news/news/one-year-on-impact-of-app-reimbursement-on-victims/,Verified by direct fetch 2026-07-25. PSR attributes the fall in claims to firms 'stepping up and stopping fraud in response to the requirements'. Complements (does not duplicate) the Q4 2025 dashboard entry above.
APP scams and reimbursement,Effect of the PSR reimbursement policy on fraud (independent evaluation),"In-scope APP scam losses over Faster Payments down c.21% — about £73 million a year — and nearly 35,000 fewer APP scams; reimbursement rate for all claims up from 54% to 65%, and 97% for in-scope claims; short-term net benefit £17m–£29m",Policy effect measured since 7 October 2024,UK,Payment Systems Regulator / Frontier Economics (independent evaluation),2026-07-01,https://www.psr.org.uk/news-and-updates/latest-news/news/payment-fraud-falls-by-73m-following-psr-reimbursement-scheme/,PSR will consult on changes in December 2026. Firms with historically high fraud levels improved most. Corroborated by Norton Rose Fulbright's Regulation Tomorrow coverage (July 2026). Measures a different population and period from the PSR dashboard's 89% figure — the two rates are not directly comparable.
APP scams and reimbursement,"Fraud victims' reimbursement experience (all fraud, survey measure)","Of the c.3 million CSEW fraud incidents involving an initial financial loss, victims were fully reimbursed in 70% of cases — but rates vary sharply by type: 85% for bank and credit account fraud vs 48% for consumer and retail fraud and 40% for 'other' fraud",Year ending March 2025,England and Wales,Office for National Statistics — Nature of fraud and computer misuse in England and Wales,2026-03-26,https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/articles/natureoffraudandcomputermisuseinenglandandwales/yearendingmarch2025,Verified by direct fetch 2026-07-25 (fetch reported the complements: 15%/52%/60% NOT fully reimbursed for bank/consumer/other — arithmetically consistent; spot-check the exact table in the article before publishing). Pairs well with the PSR 89% figure to show protection is strong for bank transfers but weak for purchase-type scams.
Losses by scam type (2025),Investment fraud (APP) losses,"£221.5 million, up 40% vs 2024 — the largest share of APP losses and a record high; 14,893 cases, up 26%",Calendar year 2025,UK,UK Finance — Annual Fraud Report 2026,2026-06-15,https://www.ukfinance.org.uk/news-and-insight/press-release/fraud-report-2026-press-release,"Often starts with fraudulent advertising on social media, per UK Finance. £ figure corroborated by four independent secondary reports on 2026-07-25."
Losses by scam type (2025),Purchase scams (APP),"71% of all APP cases; losses £118.1 million, up 20% vs 2024 — record case levels",Calendar year 2025,UK,UK Finance — Annual Fraud Report 2026,2026-06-15,https://www.ukfinance.org.uk/news-and-insight/press-release/fraud-report-2026-press-release,Typically starts on online marketplaces; UK Finance is calling for mandatory seller verification. (The H1 2025 half-year report used 72% of APP cases; 71% is the full-year 2025 figure.)
